#Speed	Angle	Frequency	Area	Stdev
0.125	60	20	0.570558225467	0.116525345984
0.25	60	20	1.15816091189	0.268806110677
0.5	60	20	2.23318559408	0.482670410473
0.75	60	20	3.41960345859	0.735906338314
1.0	60	20	4.61089366425	0.970515511735
1.25	60	20	5.71158702113	1.20345650275
1.5	60	20	6.84071321908	1.44530056418
1.75	60	20	7.8813494277	1.73472677792
2.0	60	20	9.01836314647	1.99001853939
2.25	60	20	10.2180335862	2.16933677267
2.5	60	20	11.4775803238	2.47400921477
2.75	60	20	12.3973546562	2.63137239481
3.0	60	20	13.5115455616	2.88402643529
3.25	60	20	14.8384802387	2.96805464669
3.5	60	20	15.9948849578	3.67614173711
3.75	60	20	17.1871434618	3.68213522963
4.0	60	20	17.8907125378	4.07392503726
